"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.544749513E2,5.237673583E1,4.899178384E0,3.769006126E0,1.682065165E0,1.163978530E2,4.755559776E0,3.348012582E0
1.554749393E2,5.237673232E1,4.899200383E0,3.810196659E0,1.715208823E0,1.128106084E2,4.763237502E0,3.337080390E0
1.564749283E2,5.237673378E1,4.899223295E0,4.066977849E0,1.691247292E0,1.059092764E2,4.769697585E0,3.327840437E0
1.574749192E2,5.237673605E1,4.899246600E0,4.469934049E0,1.685133894E0,1.027841139E2,4.773129810E0,3.322915716E0
1.584749094E2,5.237673629E1,4.899269472E0,4.159694865E0,1.732653888E0,9.889857764E1,4.779132711E0,3.314276326E0
1.594749010E2,5.237673913E1,4.899285155E0,4.040797757E0,1.283861218E0,9.654097875E1,4.774754283E0,3.320581059E0
1.604748924E2,5.237673875E1,4.899293602E0,3.886751281E0,1.053126374E0,9.952107239E1,4.768599648E0,3.329413527E0
1.614748850E2,5.237673849E1,4.899291309E0,3.431352382E0,5.604922915E-1,1.025230206E2,4.774725938E0,3.320621816E0
1.624748780E2,5.237673516E1,4.899281572E0,3.487372643E0,1.302441804E-1,1.125383872E2,4.760199055E0,3.341413172E0
1.634748724E2,5.237672460E1,4.899280286E0,3.018603070E0,4.902005477E-1,1.571909270E2,4.768660407E0,3.329326501E0
1.644748657E2,5.237670611E1,4.899276243E0,3.498045205E0,9.545261147E-1,1.734610594E2,4.765096954E0,3.334424695E0
1.654748604E2,5.237669155E1,4.899274357E0,3.988466702E0,8.900414563E-1,1.829472856E2,4.743095420E0,3.365647467E0
1.664748557E2,5.237667751E1,4.899281707E0,4.410671304E0,9.063727995E-1,1.747419631E2,4.737429424E0,3.373618159E0
1.674748504E2,5.237667230E1,4.899290816E0,3.362414155E0,7.578555440E-1,1.622324642E2,4.737839310E0,3.373042500E0
1.684748471E2,5.237667240E1,4.899293434E0,4.618398065E0,3.022754234E-1,1.489584802E2,4.743950297E0,3.364442393E0
1.694748435E2,5.237667136E1,4.899296710E0,4.137856814E0,2.588210279E-1,NaN,4.769844222E0,3.327630258E0
1.704748405E2,5.237666897E1,4.899281678E0,3.946541777E0,3.043904033E-1,NaN,4.843944005E0,3.218810885E0
1.714748374E2,5.237665302E1,4.899280337E0,3.733233240E0,9.622130675E-1,1.842574004E2,4.895496232E0,3.139849308E0
1.724748348E2,5.237663332E1,4.899276811E0,3.316066776E0,1.517927598E0,1.831521345E2,5.001123248E0,2.968720817E0
1.734748349E2,5.237661915E1,4.899256562E0,2.967536170E0,1.741695952E0,1.908309661E2,4.936282301E0,3.075329914E0
1.744748296E2,5.237660200E1,4.899255468E0,3.158303770E0,1.839320326E0,1.881858264E2,5.061256629E0,2.864998843E0
1.754748275E2,5.237658945E1,4.899266060E0,3.602222350E0,1.608090918E0,1.818002391E2,5.208068302E0,2.588544300E0
1.764748272E2,5.237656863E1,4.899260425E0,3.297290203E0,1.405006733E0,1.875197837E2,5.182696412E0,2.638976114E0
1.774748244E2,5.237656549E1,4.899258012E0,3.573578577E0,1.124346477E0,1.883597610E2,5.105669712E0,2.785080579E0
1.784748232E2,5.237656125E1,4.899247137E0,3.609808458E0,1.016127048E0,1.927156109E2,5.120040637E0,2.758572259E0
1.794748224E2,5.237656594E1,4.899238652E0,3.753642077E0,7.684689961E-1,2.009756725E2,5.125317897E0,2.748754898E0
1.804748216E2,5.237654842E1,4.899225826E0,3.953773197E0,1.127806422E0,2.025751842E2,5.055385764E0,2.875345511E0
1.814748207E2,5.237654946E1,4.899209848E0,3.890993470E0,1.059278219E0,2.065171368E2,5.070628117E0,2.848379809E0
1.824748195E2,5.237653806E1,4.899205287E0,4.189449536E0,1.007616059E0,2.000316024E2,5.011482568E0,2.951199673E0
1.834748191E2,5.237653061E1,4.899193513E0,4.108316202E0,9.881728082E-1,2.000413297E2,5.006809013E0,2.959121582E0
1.844748193E2,5.237652425E1,4.899194373E0,4.330175385E0,7.964880418E-1,1.859983921E2,5.005838848E0,2.960762479E0
1.854748185E2,5.237652064E1,4.899191938E0,4.584134280E0,6.233974317E-1,1.817888593E2,5.010135330E0,2.953486247E0
1.864748187E2,5.237651286E1,4.899201234E0,1.828907921E0,6.097039656E-1,1.697809664E2,5.018970184E0,2.938447774E0
1.874748180E2,5.237650790E1,4.899204822E0,1.705934147E0,4.417223537E-1,1.664681553E2,5.044868448E0,2.922447133E0
1.884748191E2,5.237650400E1,4.899207574E0,1.612917075E0,3.905255191E-1,1.639914689E2,5.316115738E0,2.885321840E0
1.894748194E2,5.237650251E1,4.899206094E0,2.498006993E0,2.118796253E-1,1.641875856E2,5.727668622E0,2.734727760E0
1.904748193E2,5.237649489E1,4.899216427E0,3.036235852E0,1.812084983E-1,1.641875889E2,6.403668076E0,2.308990633E0
1.914748193E2,5.237649233E1,4.899219929E0,2.702692624E0,2.538829477E-1,1.641875900E2,7.613577191E0,1.562728243E0
1.924748209E2,5.237649038E1,4.899222217E0,2.619449519E0,2.725495801E-1,1.641875908E2,9.687535882E0,1.475417322E0
1.934748212E2,5.237648508E1,4.899227560E0,2.768269873E0,2.635175090E-1,1.641875929E2,1.137635800E1,1.474198126E0
1.944748216E2,5.237646851E1,4.899261448E0,3.696926140E0,9.868232261E-1,1.478954895E2,9.737914328E0,1.458113908E0
1.954748214E2,5.237645684E1,4.899307104E0,3.266050151E0,1.271798927E0,1.327739290E2,9.844483399E0,1.336372950E0
1.964748229E2,5.237643473E1,4.899353286E0,3.827278217E0,1.435566192E0,1.373827094E2,9.204887497E0,1.419304258E0
1.974748232E2,5.237642755E1,4.899337506E0,3.309521651E0,1.242999109E0,1.459227388E2,8.905483726E0,1.429702364E0
1.984748244E2,5.237642089E1,4.899341433E0,3.487289754E0,1.294209877E0,1.454319904E2,8.969629479E0,1.337720464E0
1.994748263E2,5.237640659E1,4.899390679E0,3.679184073E0,1.504044421E0,1.380834164E2,9.297718870E0,1.333680910E0
2.004748265E2,5.237639465E1,4.899397713E0,3.325340532E0,1.632220794E0,1.437363310E2,9.638775947E0,1.366176342E0
2.014748276E2,5.237637799E1,4.899419546E0,3.325587673E0,1.876203253E0,1.458414882E2,1.038107079E1,1.386941152E0
2.024748287E2,5.237637089E1,4.899460103E0,3.804655890E0,2.081203571E0,1.422501178E2,1.105045913E1,1.383273629E0
2.034748293E2,5.237635484E1,4.899475658E0,3.672711244E0,2.178573857E0,1.436850818E2,1.196041788E1,1.334351998E0
2.044748310E2,5.237634635E1,4.899480730E0,3.781917526E0,2.033219142E0,1.469152595E2,1.269620792E1,1.314551809E0
2.054748328E2,5.237632857E1,4.899487118E0,3.692854566E0,2.144885918E0,1.504540387E2,1.318248931E1,1.294834406E0
2.064748338E2,5.237631868E1,4.899501645E0,3.364424480E0,1.911332059E0,1.482740307E2,1.405328592E1,1.295303740E0
