"Time (s)","Distance (cm)"
3.272476853E2,5.000000000E0
3.278478612E2,0.000000000E0
3.284476638E2,5.000000000E0
3.291478340E2,0.000000000E0
3.297476861E2,5.000000000E0
3.301476812E2,0.000000000E0
3.307476856E2,5.000000000E0
3.313476988E2,0.000000000E0
3.317476825E2,5.000000000E0
3.323478181E2,0.000000000E0
3.329476671E2,5.000000000E0
3.333476908E2,0.000000000E0
3.339476695E2,5.000000000E0
3.346476791E2,0.000000000E0
3.350475926E2,5.000000000E0
3.356476880E2,0.000000000E0
3.362477028E2,5.000000000E0
3.368476988E2,0.000000000E0
3.372478795E2,5.000000000E0
3.378476944E2,0.000000000E0
3.384477726E2,5.000000000E0
3.390476765E2,0.000000000E0
3.395476723E2,5.000000000E0
3.401476880E2,0.000000000E0
3.407476781E2,5.000000000E0
3.413477013E2,0.000000000E0
3.417476858E2,5.000000000E0
3.423477889E2,0.000000000E0
3.429476659E2,5.000000000E0
3.435477957E2,0.000000000E0
3.439476680E2,5.000000000E0
3.445476810E2,0.000000000E0
3.452476844E2,5.000000000E0
3.458476994E2,0.000000000E0
3.464476640E2,5.000000000E0
3.468476908E2,0.000000000E0
3.474476683E2,5.000000000E0
3.480477342E2,0.000000000E0
3.486476784E2,5.000000000E0
3.492477828E2,0.000000000E0
3.496476767E2,5.000000000E0
3.503477416E2,0.000000000E0
3.509476663E2,5.000000000E0
3.513476899E2,0.000000000E0
3.519476694E2,5.000000000E0
3.525476816E2,0.000000000E0
3.531476311E2,5.000000000E0
3.535476702E2,0.000000000E0
3.541478425E2,5.000000000E0
3.547476932E2,0.000000000E0
3.554478192E2,5.000000000E0
3.558476942E2,0.000000000E0
3.564476655E2,5.000000000E0
3.570476779E2,0.000000000E0
3.576476782E2,5.000000000E0
3.580477216E2,0.000000000E0
3.586476795E2,5.000000000E0
3.592477362E2,0.000000000E0
3.598476828E2,5.000000000E0
3.602476865E2,0.000000000E0
3.609476687E2,5.000000000E0
3.615477761E2,0.000000000E0
3.621476803E2,5.000000000E0
3.625476717E2,0.000000000E0
3.631476043E2,5.000000000E0
3.637476891E2,0.000000000E0
3.641478093E2,5.000000000E0
3.647476881E2,0.000000000E0
3.653476874E2,5.000000000E0
3.657476859E2,0.000000000E0
3.664476666E2,5.000000000E0
3.670476828E2,0.000000000E0
3.676476782E2,5.000000000E0
3.682476930E2,0.000000000E0
3.686476564E2,5.000000000E0
3.692476889E2,0.000000000E0
3.698478468E2,5.000000000E0
3.702476874E2,0.000000000E0
3.708476920E2,5.000000000E0
3.715476736E2,0.000000000E0
3.719476643E2,5.000000000E0
3.725476809E2,0.000000000E0
3.731476803E2,5.000000000E0
3.737477370E2,0.000000000E0
3.741476801E2,5.000000000E0
3.747478287E2,0.000000000E0
3.753476901E2,5.000000000E0
3.759478434E2,0.000000000E0
3.763476911E2,5.000000000E0
3.770476739E2,0.000000000E0
3.776476806E2,5.000000000E0
3.782476938E2,0.000000000E0
3.786476841E2,5.000000000E0
3.792476943E2,0.000000000E0
3.798478781E2,5.000000000E0
3.802476858E2,0.000000000E0
3.808476927E2,5.000000000E0
3.814476764E2,0.000000000E0
3.819476674E2,5.000000000E0
3.825476811E2,0.000000000E0
3.829476671E2,5.000000000E0
3.837477290E2,0.000000000E0
3.841476764E2,5.000000000E0
3.847478517E2,0.000000000E0
3.853476935E2,5.000000000E0
3.857476862E2,0.000000000E0
3.863476914E2,5.000000000E0
3.869476733E2,0.000000000E0
3.874476851E2,5.000000000E0
3.880476837E2,0.000000000E0
3.886476858E2,5.000000000E0
3.892476887E2,0.000000000E0
3.896476769E2,5.000000000E0
3.902476938E2,0.000000000E0
3.906476819E2,5.000000000E0
3.914476692E2,0.000000000E0
3.920476755E2,5.000000000E0
3.927476852E2,0.000000000E0
3.933476951E2,5.000000000E0
3.939476773E2,0.000000000E0
3.943476871E2,5.000000000E0
3.951476816E2,0.000000000E0
3.955476741E2,5.000000000E0
3.961477198E2,0.000000000E0
3.967476853E2,5.000000000E0
3.973478189E2,0.000000000E0
3.977476822E2,5.000000000E0
3.984477653E2,0.000000000E0
3.990476759E2,5.000000000E0
3.996476876E2,0.000000000E0
4.000475926E2,5.000000000E0
4.006476863E2,0.000000000E0
4.012477336E2,5.000000000E0
4.018476989E2,0.000000000E0
4.022478783E2,5.000000000E0
4.028476991E2,0.000000000E0
4.035478466E2,5.000000000E0
4.041476921E2,0.000000000E0
4.047477413E2,5.000000000E0
4.051476788E2,0.000000000E0
4.057476847E2,5.000000000E0
4.063476943E2,0.000000000E0
4.067476853E2,5.000000000E0
4.073478798E2,0.000000000E0
4.079476678E2,5.000000000E0
4.086477714E2,0.000000000E0
4.090476767E2,5.000000000E0
4.096476882E2,0.000000000E0
4.102476839E2,5.000000000E0
4.108476975E2,0.000000000E0
4.112476551E2,5.000000000E0
4.118476991E2,0.000000000E0
4.124476806E2,5.000000000E0
4.130476820E2,0.000000000E0
4.134476650E2,5.000000000E0
4.141476807E2,0.000000000E0
4.147477502E2,5.000000000E0
4.153477016E2,0.000000000E0
4.159476674E2,5.000000000E0
4.163477213E2,0.000000000E0
4.169476677E2,5.000000000E0
4.175477222E2,0.000000000E0
4.181476797E2,5.000000000E0
4.187477375E2,0.000000000E0
4.192476829E2,5.000000000E0
4.198478663E2,0.000000000E0
4.204476678E2,5.000000000E0
4.210477743E2,0.000000000E0
4.216476797E2,5.000000000E0
4.220476735E2,0.000000000E0
4.226476779E2,5.000000000E0
4.232476900E2,0.000000000E0
4.238477046E2,5.000000000E0
4.245476683E2,0.000000000E0
4.249477909E2,5.000000000E0
4.255476821E2,0.000000000E0
4.261477493E2,5.000000000E0
4.267476950E2,0.000000000E0
4.271476792E2,5.000000000E0
4.277476942E2,0.000000000E0
4.283476912E2,5.000000000E0
4.289476739E2,0.000000000E0
4.293476918E2,5.000000000E0
4.300476844E2,0.000000000E0
4.306476781E2,5.000000000E0
4.312477290E2,0.000000000E0
4.318476912E2,5.000000000E0
4.322476852E2,0.000000000E0
4.328476888E2,5.000000000E0
4.334476708E2,0.000000000E0
4.340476753E2,5.000000000E0
4.344476983E2,0.000000000E0
4.351476773E2,5.000000000E0
4.357477345E2,0.000000000E0
4.361476813E2,5.000000000E0
4.367478524E2,0.000000000E0
4.373476916E2,5.000000000E0
4.379478661E2,0.000000000E0
4.385476754E2,5.000000000E0
4.389476646E2,0.000000000E0
4.395477028E2,5.000000000E0
4.399476677E2,0.000000000E0
4.406477138E2,5.000000000E0
4.412476887E2,0.000000000E0
4.416476785E2,5.000000000E0
4.422476883E2,0.000000000E0
4.428476910E2,5.000000000E0
4.434476746E2,0.000000000E0
4.438476912E2,5.000000000E0
4.444477253E2,0.000000000E0
4.450476743E2,5.000000000E0
4.454478092E2,0.000000000E0
4.461476797E2,5.000000000E0
4.467477606E2,0.000000000E0
4.473476914E2,5.000000000E0
4.477476818E2,0.000000000E0
4.483476874E2,5.000000000E0
4.489476769E2,0.000000000E0
4.495476843E2,5.000000000E0
4.499476659E2,0.000000000E0
4.505477760E2,5.000000000E0
4.512476865E2,0.000000000E0
4.516476786E2,5.000000000E0
4.522476911E2,0.000000000E0
4.528476884E2,5.000000000E0
4.534476763E2,0.000000000E0
4.540476765E2,5.000000000E0
4.544476670E2,0.000000000E0
4.550476745E2,5.000000000E0
4.556478671E2,0.000000000E0
4.560476742E2,5.000000000E0
4.567478453E2,0.000000000E0
4.573476936E2,5.000000000E0
4.579476717E2,0.000000000E0
4.583476908E2,5.000000000E0
4.589476754E2,0.000000000E0
4.595477166E2,5.000000000E0
4.601476883E2,0.000000000E0
4.605478538E2,5.000000000E0
4.611476820E2,0.000000000E0
4.618477958E2,5.000000000E0
4.624476746E2,0.000000000E0
4.628476905E2,5.000000000E0
4.634476711E2,0.000000000E0
4.640476730E2,5.000000000E0
4.646476887E2,0.000000000E0
4.650476741E2,5.000000000E0
4.656478006E2,0.000000000E0
4.662476826E2,5.000000000E0
4.669477388E2,0.000000000E0
4.675476743E2,5.000000000E0
4.679476649E2,0.000000000E0
4.685476748E2,5.000000000E0
4.691476887E2,0.000000000E0
4.697476862E2,5.000000000E0
4.701476815E2,0.000000000E0
4.707477339E2,5.000000000E0
4.713476997E2,0.000000000E0
4.717478274E2,5.000000000E0
4.724476669E2,0.000000000E0
4.728476915E2,5.000000000E0
4.736476776E2,0.000000000E0
4.740476739E2,5.000000000E0
4.746476818E2,0.000000000E0
4.750476713E2,5.000000000E0
4.758476724E2,0.000000000E0
4.762476849E2,5.000000000E0
4.768478007E2,0.000000000E0
4.772476840E2,5.000000000E0
4.781478988E2,0.000000000E0
4.785476712E2,5.000000000E0
4.791476874E2,0.000000000E0
4.795476733E2,5.000000000E0
4.803476924E2,0.000000000E0
4.807476899E2,5.000000000E0
4.813476998E2,0.000000000E0
4.819478609E2,5.000000000E0
4.825476823E2,0.000000000E0
4.830478520E2,5.000000000E0
4.836476859E2,0.000000000E0
4.842476840E2,5.000000000E0
4.848476952E2,0.000000000E0
4.852476829E2,5.000000000E0
4.860476738E2,0.000000000E0
4.864476674E2,5.000000000E0
4.870476994E2,0.000000000E0
4.874476683E2,5.000000000E0
4.880477640E2,0.000000000E0
4.887476872E2,5.000000000E0
4.893478757E2,0.000000000E0
4.899476693E2,5.000000000E0
4.905477690E2,0.000000000E0
4.909476653E2,5.000000000E0
4.915476828E2,0.000000000E0
4.921476037E2,5.000000000E0
4.927476930E2,0.000000000E0
4.931478462E2,5.000000000E0
4.938476878E2,0.000000000E0
4.944478182E2,5.000000000E0
4.950476841E2,0.000000000E0
4.954476681E2,5.000000000E0
4.960476784E2,0.000000000E0
4.964476681E2,5.000000000E0
4.972476847E2,0.000000000E0
4.976476736E2,5.000000000E0
4.982478063E2,0.000000000E0
4.989476674E2,5.000000000E0
4.995476844E2,0.000000000E0
