"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.830964833E0,-1.518033385E0,8.115546107E-1,-5.368671566E-2
2.840970833E0,-1.105882287E0,5.280200839E-1,-1.563563645E-1
2.850977833E0,-6.750642061E-1,2.924733758E-1,-2.747302651E-1
2.860984833E0,-3.154647648E-1,3.250763118E-1,-3.810484409E-1
2.870990833E0,-1.027814969E-1,4.765122831E-1,-3.957707584E-1
2.880997833E0,-5.861078855E-3,6.442953944E-1,-2.958920896E-1
2.891003833E0,-6.856713444E-3,7.030884624E-1,-1.174377277E-1
2.901010833E0,-1.506951153E-1,5.784419179E-1,8.303625882E-2
2.911017833E0,-3.576168120E-1,4.074950516E-1,2.201123387E-1
2.921023833E0,-5.080209970E-1,2.619130909E-1,2.203688025E-1
2.931030833E0,-5.586708784E-1,7.451045793E-3,1.531081200E-1
2.941036833E0,-3.150779605E-1,-3.887767196E-1,1.313804537E-1
2.951043833E0,8.018227816E-1,-3.528621495E-1,1.480455399E-1
2.961050833E0,2.047207117E0,2.902771533E-1,9.836666286E-2
2.971056833E0,2.535387278E0,9.738039374E-1,-1.576188207E-2
2.981063833E0,2.672650337E0,1.553042293E0,-1.043082625E-1
2.991069833E0,2.843091965E0,1.943938375E0,-8.361244947E-2
3.001076833E0,3.138480186E0,2.186400175E0,4.118460789E-2
3.011083833E0,3.419602633E0,2.388647318E0,1.556476802E-1
3.021089833E0,3.536568165E0,2.598160267E0,1.693350077E-1
3.031096833E0,3.459712744E0,2.792787313E0,1.711594611E-1
3.041102833E0,3.278433800E0,2.955244303E0,2.588400245E-1
3.051109833E0,3.062144756E0,3.116243601E0,4.053082168E-1
3.061116833E0,2.837513685E0,3.292398214E0,4.847657382E-1
3.071122833E0,2.557605743E0,3.386451006E0,4.358713925E-1
3.081129833E0,2.246227980E0,3.198333740E0,3.062324226E-1
3.091135833E0,2.023399591E0,2.607758045E0,2.033729404E-1
3.101142833E0,2.038043499E0,1.640456915E0,1.924124360E-1
3.111149833E0,2.280267954E0,3.686164320E-1,2.147983164E-1
3.121155833E0,2.638416529E0,-7.100210786E-1,1.365351975E-1
3.131162833E0,2.952936649E0,-1.257047296E0,-3.051168472E-2
3.141168833E0,3.094967604E0,-1.409035683E0,-1.416682899E-1
3.151175833E0,3.014265776E0,-1.248821735E0,-1.551991403E-1
3.161182833E0,2.762618303E0,-1.030912638E0,-9.389369935E-2
3.171188833E0,2.441947222E0,-8.127681017E-1,5.475664884E-2
3.181195833E0,2.104573011E0,-5.109142065E-1,2.140727937E-1
3.191202833E0,1.836882472E0,-1.313321590E-1,3.584147394E-1
3.201208833E0,1.632864356E0,1.950845718E-1,4.218570888E-1
3.211215833E0,1.446784258E0,4.178479314E-1,4.132311344E-1
3.221221833E0,1.317325830E0,5.508028269E-1,3.902539313E-1
3.231228833E0,1.186995506E0,5.204133987E-1,4.081044793E-1
3.241235833E0,1.036826491E0,3.038225174E-1,4.647083580E-1
3.251241833E0,8.580090404E-1,-9.141638130E-2,5.044733882E-1
3.261248833E0,6.813234687E-1,-5.888975263E-1,4.910291731E-1
3.271254833E0,5.880806446E-1,-1.005718112E0,4.261314571E-1
3.281261833E0,5.431680679E-1,-1.228667378E0,3.223533928E-1
3.291268833E0,4.970465004E-1,-1.227794886E0,1.815640330E-1
3.301274833E0,4.176810980E-1,-1.159018159E0,7.285753638E-2
3.311281833E0,3.209286928E-1,-1.108186245E0,-3.554580733E-2
3.321287833E0,2.097640783E-1,-1.100271583E0,-1.304701865E-1
3.331294833E0,7.960981131E-2,-1.082309008E0,-1.712570339E-1
3.341301833E0,-2.260790579E-2,-1.084610820E0,-1.910099685E-1
3.351307833E0,-1.300998926E-1,-1.152770996E0,-2.459013164E-1
3.361314833E0,-2.906695902E-1,-1.330252051E0,-3.530634642E-1
3.371320833E0,-4.841420054E-1,-1.670641661E0,-4.581757784E-1
3.381327833E0,-6.756060123E-1,-2.156712055E0,-5.071374774E-1
3.391334833E0,-8.339501023E-1,-2.748440266E0,-4.877212048E-1
3.401340708E0,-8.846551180E-1,-3.295722008E0,-3.812054396E-1
3.411347708E0,-6.578288674E-1,-3.273954868E0,-1.814129800E-1
3.421353708E0,1.222581565E-1,-2.063609838E0,3.973990679E-2
3.431360708E0,8.635504246E-1,-7.856360674E-1,8.262600750E-2
3.441367708E0,1.501020670E0,-3.563789725E-1,-1.301503088E-2
3.451373708E0,2.049654961E0,-5.837566257E-1,-1.086904630E-1
3.461380708E0,2.027040720E0,-9.612682462E-1,-2.158755064E-1
3.471386708E0,1.651913285E0,-5.750266910E-1,-1.594229341E-1
3.481393708E0,1.294033885E0,-2.209706008E-1,4.705833644E-2
3.491400708E0,9.996954799E-1,1.230797991E-1,1.630308628E-1
3.501406708E0,5.273025632E-1,2.778600454E-1,1.023904160E-1
3.511413708E0,-7.494418323E-2,-5.090783536E-2,-2.228395939E-1
3.521420708E0,-7.810943723E-1,-2.314810753E-1,-4.929522872E-1
3.531426708E0,-1.571133018E0,1.732409149E-1,-5.982453823E-1
3.541433708E0,-2.209897995E0,1.092806458E0,-4.473216534E-1
3.551439708E0,-2.473688841E0,2.442314386E0,-3.149996698E-2
3.561446708E0,-2.392787457E0,3.609626770E0,3.718943596E-1
3.571453708E0,-1.420961976E0,3.680518866E0,4.786124527E-1
3.581459708E0,-3.583146632E-1,1.567020535E0,1.148814149E-2
3.591466708E0,-1.969724596E-1,-4.479961991E-1,-4.705072343E-1
3.601472708E0,-2.808327675E-1,-9.417124391E-1,-5.842186213E-1
3.611479708E0,-3.924924433E-1,-3.322485685E-1,-4.661087394E-1
3.621486708E0,-6.581627131E-1,4.092689753E-1,-5.003402233E-1
3.631492708E0,-1.050505042E0,1.076152921E0,-7.543830276E-1
3.641499708E0,-1.482795119E0,1.423520803E0,-8.566755652E-1
3.651505708E0,-1.874280572E0,1.376272440E0,-6.678588986E-1
3.661512708E0,-2.170565605E0,1.164964199E0,-3.453706503E-1
3.671519708E0,-2.364314556E0,8.223545551E-1,-4.832121357E-2
3.681525708E0,-2.428699493E0,4.850587845E-1,1.095871925E-1
3.691532708E0,-2.428765774E0,4.882276431E-2,1.464114785E-1
3.701538708E0,-2.475104570E0,-9.387258291E-1,1.499747783E-1
3.711545708E0,-2.498710871E0,-2.080545425E0,2.300386876E-1
3.721552708E0,-2.469239235E0,-2.753345251E0,4.052675068E-1
3.731558708E0,-2.408497810E0,-3.047416210E0,6.097329259E-1
3.741565708E0,-2.354591608E0,-3.132257938E0,7.971877456E-1
3.751572708E0,-2.301125765E0,-3.054082870E0,9.359670281E-1
3.761578708E0,-2.224309683E0,-2.798225403E0,9.814599752E-1
3.771585708E0,-2.055755138E0,-2.208422899E0,8.829049468E-1
3.781591708E0,-1.777710915E0,-1.158973336E0,6.511406898E-1
3.791598708E0,-1.585549593E0,-4.770540074E-2,4.436708987E-1
3.801605708E0,-1.587747574E0,6.770927906E-1,3.830581605E-1
3.811611708E0,-1.735944033E0,1.034375787E0,4.221152365E-1
3.821618708E0,-1.953004122E0,1.148244739E0,5.189765096E-1
3.831624708E0,-2.200181007E0,1.142820001E0,6.023419499E-1
3.841631708E0,-2.395287275E0,1.064276457E0,6.402051449E-1
3.851638708E0,-2.504669428E0,8.886881471E-1,6.419678330E-1
3.861644708E0,-2.579915047E0,5.090215206E-1,5.980155468E-1
3.871651708E0,-2.669135094E0,-2.194871306E-1,5.079016685E-1
3.881657708E0,-2.707709789E0,-1.229896069E0,3.551358581E-1
