"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.696677833E0,-3.140980530E1,2.682065582E1,-5.502029419E0
2.706684833E0,-3.152073669E1,2.705596924E1,-5.503265381E0
2.716691833E0,-3.137206268E1,2.710814667E1,-5.348464966E0
2.726698833E0,-3.146197510E1,2.695508575E1,-5.255592346E0
2.736704833E0,-3.122864532E1,2.717091370E1,-5.454345703E0
2.746711833E0,-3.115520477E1,2.727529144E1,-5.703788757E0
2.756718833E0,-3.102635956E1,2.750622559E1,-5.584571838E0
2.766725833E0,-3.082934570E1,2.774069977E1,-5.947631836E0
2.776732833E0,-3.069605255E1,2.791403961E1,-6.096092224E0
2.786739833E0,-3.036956024E1,2.813773346E1,-6.034957886E0
2.796745833E0,-3.037354279E1,2.828053284E1,-5.664993286E0
2.806752833E0,-3.024829102E1,2.844689178E1,-5.250610352E0
2.816759833E0,-3.011346436E1,2.861596680E1,-4.485900879E0
2.826766833E0,-3.032796478E1,2.845586395E1,-3.721122742E0
2.836773833E0,-3.050733185E1,2.836424255E1,-3.321517944E0
2.846780833E0,-3.066548920E1,2.850655365E1,-2.638671875E0
2.856787833E0,-3.067523193E1,2.829727936E1,-1.247558594E0
2.866793833E0,-3.102477264E1,2.825560760E1,-6.673736572E-1
2.876800833E0,-3.104656982E1,2.798741913E1,1.899719238E-1
2.886807833E0,-3.101705170E1,2.775572968E1,1.571792603E0
2.896814833E0,-3.131845856E1,2.755581665E1,2.294937134E0
2.906821833E0,-3.135182190E1,2.737107086E1,2.937377930E0
2.916828833E0,-3.141932678E1,2.728842926E1,2.968368530E0
2.926834833E0,-3.156221771E1,2.710003662E1,3.071571350E0
2.936841833E0,-3.189435577E1,2.665051270E1,2.744476318E0
2.946848833E0,-3.190178680E1,2.674011230E1,2.255241394E0
2.956855833E0,-3.212676239E1,2.662145233E1,2.227149963E0
2.966862833E0,-3.228481293E1,2.666831970E1,1.442375183E0
2.976869833E0,-3.239884949E1,2.651048279E1,9.679412842E-1
2.986875833E0,-3.222681427E1,2.643656158E1,2.636108398E-1
2.996882833E0,-3.215746307E1,2.669596100E1,-1.243667603E-1
3.006889833E0,-3.242424774E1,2.676720428E1,-2.465438843E-1
3.016896833E0,-3.213834381E1,2.663772583E1,-7.262954712E-1
3.026903833E0,-3.211151886E1,2.685677338E1,-3.054046631E-1
3.036910833E0,-3.201537323E1,2.681969452E1,2.900390625E-1
3.046917833E0,-3.187518311E1,2.708370209E1,9.994583130E-1
3.056923833E0,-3.191207886E1,2.703897095E1,9.619750977E-1
3.066930833E0,-3.193226624E1,2.678377533E1,-3.142547607E-2
3.076937833E0,-3.225930023E1,2.672520447E1,-9.725952148E-1
3.086944833E0,-3.242916107E1,2.690114594E1,-2.366149902E0
3.096951833E0,-3.234132385E1,2.678158569E1,-3.751258850E0
3.106958833E0,-3.190113068E1,2.694776154E1,-7.352813721E0
3.116964833E0,-3.190113068E1,2.694776154E1,-7.352813721E0
3.126971833E0,-3.111054993E1,2.711033630E1,-1.047228241E1
3.136978833E0,-3.057045746E1,2.667967987E1,-1.240020752E1
3.146985833E0,-2.993627930E1,2.651394653E1,-1.386075592E1
3.156992833E0,-2.944861603E1,2.619869995E1,-1.558653259E1
3.166999833E0,-2.894398499E1,2.597294617E1,-1.696634674E1
3.177006833E0,-2.867140961E1,2.596338654E1,-1.855874634E1
3.187012833E0,-2.833867645E1,2.561705780E1,-1.917889404E1
3.197019708E0,-2.822739410E1,2.510066986E1,-1.970294952E1
3.207026708E0,-2.842817688E1,2.491912079E1,-1.988604736E1
3.217033708E0,-2.860861969E1,2.444196320E1,-1.975468445E1
3.227040708E0,-2.846703339E1,2.416723633E1,-1.973567200E1
3.237047708E0,-2.919860840E1,2.412876892E1,-1.937088013E1
3.247053708E0,-2.953908539E1,2.386083221E1,-1.892507172E1
3.257060708E0,-3.018994904E1,2.358824158E1,-1.844895172E1
3.267067708E0,-3.017508698E1,2.343642426E1,-1.813442230E1
3.277074708E0,-3.041805267E1,2.341474915E1,-1.823326874E1
3.287081708E0,-3.042003632E1,2.318920135E1,-1.878459930E1
3.297088708E0,-3.018135071E1,2.301621246E1,-1.934625244E1
