"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.823207227E2,5.237544833E1,4.899895000E0,1.649272802E0,4.431758225E-1,3.040000000E2,1.799999952E0,1.729999924E1
1.833207227E2,5.237546000E1,4.899903333E0,1.749294132E0,0.000000000E0,2.454999924E1,1.799999952E0,1.779999924E1
1.843207227E2,5.237547000E1,4.899911667E0,1.749313106E0,0.000000000E0,1.264000034E1,1.799999952E0,1.850000000E1
1.853207227E2,5.237548167E1,4.899928333E0,1.649339274E0,0.000000000E0,3.552000046E1,1.799999952E0,1.800000000E1
1.863207227E2,5.237549500E1,4.899940000E0,1.449364896E0,4.076600075E-1,2.335000038E1,1.799999952E0,1.800000000E1
1.873207227E2,5.237550333E1,4.899955000E0,1.149385385E0,4.488377869E-1,2.489999962E1,1.799999952E0,1.770000076E1
1.883207227E2,5.237551333E1,4.899968333E0,1.049407262E0,4.838388860E-1,2.007999992E1,1.899999976E0,1.810000038E1
1.893207227E2,5.237552167E1,4.899981667E0,1.149426784E0,5.116338730E-1,2.690999985E1,1.899999976E0,1.800000000E1
1.903207227E2,5.237553167E1,4.899993333E0,1.349447693E0,5.353111029E-1,2.388999939E1,1.899999976E0,1.789999962E1
1.913207227E2,5.237554000E1,4.900003333E0,1.349465279E0,5.811213851E-1,1.967000008E1,1.899999976E0,1.829999924E1
1.923207227E2,5.237554500E1,4.900020000E0,1.349482024E0,6.758303046E-1,6.161999893E1,1.899999976E0,1.829999924E1
1.933207227E2,5.237554500E1,4.900040000E0,1.449493636E0,7.221552730E-1,7.113999939E1,1.899999976E0,1.820000076E1
1.943207227E2,5.237554833E1,4.900055000E0,1.449507058E0,7.494355440E-1,7.441999817E1,1.899999976E0,1.760000038E1
1.953207227E2,5.237555500E1,4.900066667E0,1.649523256E0,7.406852841E-1,5.154000092E1,1.899999976E0,1.670000076E1
1.963207227E2,5.237556167E1,4.900086667E0,1.749544292E0,7.360527515E-1,4.434999847E1,1.899999976E0,1.720000076E1
1.973207227E2,5.237556833E1,4.900098333E0,1.749560490E0,7.350233197E-1,4.218000031E1,1.899999976E0,1.710000038E1
1.983207227E2,5.237557500E1,4.900113333E0,1.949578623E0,7.345086336E-1,4.322000122E1,1.899999976E0,1.750000000E1
1.993207227E2,5.237558000E1,4.900121667E0,2.149590530E0,7.247288823E-1,3.899000168E1,1.899999976E0,1.800000000E1
2.003207227E2,5.237558833E1,4.900131667E0,2.249608116E0,7.226700187E-1,3.672000122E1,1.899999976E0,1.689999962E1
